Customer ID,Email,Age,Gender,Time on App (minutes),Time on Web (minutes),Membership,Favorite Product Base,Demography,Annual Income (K$),Spending Score
1,user1@kpriet.ac.in,63,Male,39,38,No,Books,Bangalore,261,23
2,user2@gmail.com,38,Female,169,162,No,Groceries,Coimbatore,102,38
3,user3@gmail.com,76,Female,178,116,No,Luxury & Beauty,Tiruppur,126,16
4,user4@kpriet.ac.in,58,Female,41,167,Yes,Books,New Delhi,164,69
5,user5@yahoo.com,67,Male,22,114,No,Books,Salem,64,95
6,user6@outlook.com,66,Male,140,108,No,Electronics,Coimbatore,267,51
7,user7@outlook.com,48,Male,149,114,Yes,Groceries,Chennai,86,22
8,user8@outlook.com,64,Female,7,127,No,Luxury & Beauty,Bangalore,108,10
9,user9@kpriet.ac.in,49,Male,161,103,No,Groceries,Salem,122,86
10,user10@gmail.com,17,Male,171,6,No,Luxury & Beauty,Coimbatore,100,98
11,user11@kpriet.ac.in,22,Male,47,14,No,Groceries,New Delhi,271,2
12,user12@kpriet.ac.in,36,Female,117,141,No,Groceries,Bangalore,71,87
13,user13@srm.ac.in,37,Male,94,56,No,Electronics,Bangalore,232,35
14,user14@gmail.com,43,Male,59,100,Yes,Clothing,Coimbatore,272,20
15,user15@srm.ac.in,20,Female,165,8,Yes,Groceries,Bangalore,175,57
16,user16@hotmail.com,30,Male,43,,Yes,Luxury & Beauty,Bangalore,140,46
17,user17@gmail.com,40,Female,110,140,No,Luxury & Beauty,Bangalore,127,23
18,user18@gmail.com,32,Female,162,53,Yes,Electronics,Bangalore,44,28
19,user19@gmail.com,80,Male,180,9,Yes,Clothing,Tiruppur,29,92
20,user20@outlook.com,19,Female,118,178,Yes,Luxury & Beauty,Mumbai,203,5
21,user21@outlook.com,30,Male,60,6,No,Electronics,Chennai,153,87
22,user22@srm.ac.in,10,Female,27,165,No,Luxury & Beauty,Salem,202,69
23,user23@srm.ac.in,62,Male,30,68,Yes,Books,Bangalore,101,28
24,user24@gmail.com,67,Female,40,62,Yes,Groceries,New Delhi,109,57
25,user25@srm.ac.in,70,Male,36,93,No,Clothing,Coimbatore,277,90
26,user26@outlook.com,47,Male,155,84,Yes,Groceries,Salem,36,7
27,user27@kpriet.ac.in,14,Male,103,38,Yes,Groceries,Bangalore,52,82
28,user28@kpriet.ac.in,39,Male,94,31,Yes,Books,Tiruppur,192,67
29,user29@kpriet.ac.in,46,Female,114,103,No,Clothing,Chennai,240,83
30,user30@srm.ac.in,46,Male,85,133,No,Groceries,Salem,78,85
31,user31@hotmail.com,68,Male,40,155,Yes,Electronics,Salem,136,92
32,user32@outlook.com,19,Male,68,83,Yes,Luxury & Beauty,Bangalore,81,85
33,user33@hotmail.com,39,Male,75,47,No,Luxury & Beauty,Salem,134,14
34,user34@srm.ac.in,43,Female,170,21,Yes,Electronics,New Delhi,269,50
35,user35@yahoo.com,35,Male,26,16,No,Luxury & Beauty,Bangalore,152,89
36,user36@gmail.com,64,Female,68,81,Yes,Books,Coimbatore,194,40
37,user37@outlook.com,24,Male,146,79,Yes,Electronics,Mumbai,201,57
38,user38@kpriet.ac.in,79,Female,158,,No,Books,Chennai,43,7
39,user39@hotmail.com,38,Female,158,138,No,Clothing,Kanpur,156,77
40,user40@yahoo.com,29,Female,160,157,No,Luxury & Beauty,New Delhi,97,1
41,user41@yahoo.com,44,Female,77,139,Yes,Books,Bangalore,283,7
42,user42@outlook.com,28,Male,11,91,Yes,Luxury & Beauty,New Delhi,73,99
43,user43@outlook.com,19,Female,173,116,No,Clothing,Salem,45,49
44,user44@yahoo.com,17,Female,82,180,No,Groceries,Bangalore,244,99
45,user45@gmail.com,31,Female,57,39,Yes,Luxury & Beauty,Chennai,254,26
46,user46@gmail.com,49,Male,137,92,Yes,Clothing,Salem,76,32
47,user47@hotmail.com,46,Male,160,130,No,Electronics,Coimbatore,74,48
48,user48@gmail.com,66,Male,135,96,Yes,Luxury & Beauty,New Delhi,72,31
49,user49@yahoo.com,25,Female,53,53,Yes,Electronics,Coimbatore,41,26
50,user50@yahoo.com,69,Female,105,47,Yes,Clothing,Bangalore,279,12
51,user51@srm.ac.in,48,Female,80,108,Yes,Electronics,New Delhi,73,3
52,user52@yahoo.com,61,Female,170,9,Yes,Books,Salem,105,54
53,user53@gmail.com,44,Male,18,63,No,Groceries,Mumbai,80,4
54,user54@kpriet.ac.in,74,Female,66,62,Yes,Electronics,New Delhi,125,2
55,user55@hotmail.com,79,Male,131,,Yes,Books,Chennai,205,44
